player_display_name,position,season,games,tackles,assisted_tackles,sacks,tfl,forced_fumbles,def_interceptions,pass_deflections,def_tds
Jordan Hicks,LB,2015,7,42,7,1,1,1,2,3,1
Rodney Gunter,DL,2015,11,16,3,1,3,0,0,0,0
Lorenzo Doss,DB,2015,1,0,0,0,0,0,0,0,0
Darius Kilgo,DL,2015,5,5,1,0,0,0,0,1,0
Danny Shelton,DL,2015,14,19,17,0,4,0,0,0,0
Bud Dupree,LB,2015,15,17,9,4,4,0,0,1,0
Steven Nelson,DB,2015,3,1,0,0,0,0,0,0,0
T.Y. McGill,DL,2015,10,8,3,3,4,0,0,1,0
Arik Armstead,DL,2015,10,14,5,2,2,0,0,0,0
Marcus Peters,DB,2015,16,53,7,0,2,1,8,26,2
P.J. Dawson,LB,2015,4,3,2,0,0,0,0,1,0
Josh Shaw,DB,2015,7,13,2,0,0,0,0,1,0
Hayes Pullard,LB,2015,3,13,6,0,1,0,0,0,0
Houston Bates,LB,2015,4,4,0,0,2,0,0,0,0
Tony Steward,LB,2015,1,1,1,0,0,0,0,0,0
Ronald Darby,DB,2015,14,61,7,0,3,0,2,21,0
Randy Gregory,LB,2015,9,7,4,0,2,0,0,0,0
Ibraheim Campbell,DB,2015,3,9,1,0,0,0,0,0,0
Ben Heeney,LB,2015,8,27,6,2.5,5,1,0,1,0
Neiron Ball,LB,2015,3,4,1,1,1,0,0,0,0
Frank Clark,LB,2015,11,15,1,3,4,1,0,2,0
Dexter McDonald,DB,2015,2,4,0,0,0,0,0,0,0
Damien Wilson,LB,2015,3,4,3,0,1,0,0,0,0
Shane Ray,LB,2015,11,15,5,4,5,0,0,1,0
Byron Jones,DB,2015,16,47,18,0,2,0,0,9,0
Vic Beasley,LB,2015,14,20,6,4,2,2,1,3,0
Damarious Randall,DB,2015,15,51,5,0,1,0,3,14,1
Malcom Brown,DL,2015,16,31,17,3,6,0,0,0,0
Landon Collins,DB,2015,16,80,28,0,5,1,1,9,0
Mario Edwards,DL,2015,11,32,9,2,3,3,0,2,0
Henry Anderson,DL,2015,9,19,12,1,5,0,0,2,0
D'Joun Smith,DB,2015,1,0,0,0,0,0,0,0,0
Jude Adjei-Barimah,DB,2015,9,33,7,0,2,0,0,1,0
James Harrison,LB,2016,15,39,14,5,9,2,1,1,0
Julius Peppers,DL,2016,14,15,8,7.5,5,2,0,3,0
Dwight Freeney,DL,2016,10,7,3,3,4,0,0,0,0
Cullen Jenkins,DL,2016,13,10,6,1.5,4,0,0,0,0
Terence Newman,DB,2016,14,33,5,0,3,0,1,8,0
Robert Mathis,LB,2016,10,15,5,5,5,3,0,0,1
Terrell Suggs,LB,2016,14,27,7,8,11,3,0,4,0
Mike Adams,DB,2016,14,62,17,0,1,2,2,2,0
Vince Wilfork,DL,2016,11,9,12,0,2,0,0,1,0
Antonio Smith,DL,2016,7,3,1,0.5,0,0,0,0,0
Daryl Smith,LB,2016,14,28,7,0,3,0,1,1,0
DeAngelo Hall,DB,2016,3,10,6,0,0,0,0,1,0
Karlos Dansby,LB,2016,16,69,45,1,8,0,0,6,0
Lorenzo Alexander,LB,2016,16,50,14,12.5,10,3,1,6,0
Cameron Wake,LB,2016,14,22,7,11.5,6,5,1,2,0
Adam Jones,DB,2016,16,54,12,0,0,1,1,7,0
DeMarcus Ware,LB,2016,10,9,6,4,3,0,0,1,0
Thomas Davis,LB,2016,16,73,33,2.5,5,1,3,4,1
Derrick Johnson,LB,2016,13,70,20,1,8,0,1,3,1
Jonathan Babineaux,DL,2016,13,14,8,0,3,0,0,1,0
Trent Cole,LB,2016,7,11,5,2,3,0,0,1,0
Mario Williams,DL,2016,8,9,4,1.5,4,0,0,1,0
Tom Johnson,DL,2016,11,11,6,2,5,0,1,1,0
Tramon Williams,DB,2016,12,28,8,0,1,0,1,5,0
Tony McDaniel,DL,2016,15,20,23,0,3,0,0,3,0
Brent Grimes,DB,2016,16,51,6,0,0,1,4,24,1
Donte Whitner,DB,2016,10,48,17,0,0,1,0,0,0
Haloti Ngata,DL,2016,12,11,11,1.5,0,0,0,3,0
Chad Greenway,LB,2016,14,26,15,0,2,0,1,1,0
Antonio Cromartie,DB,2016,4,14,0,0,0,0,0,2,0
Tamba Hali,LB,2016,16,24,10,3.5,4,0,0,0,0
Johnathan Joseph,DB,2016,13,37,7,0,0,1,0,9,0
D'Qwell Jackson,LB,2016,12,52,26,1,5,0,0,3,0
Roman Harper,DB,2016,8,22,3,0,0,0,0,0,0
Darryl Tapp,DL,2016,11,12,5,0.5,0,0,0,0,0
Frostee Rucker,DL,2016,7,7,6,0,2,1,0,1,0
Will Blackmon,DB,2016,11,23,16,0.5,0,1,1,3,0
Stephen Tulloch,LB,2016,4,7,0,0,0,0,0,0,0
Domata Peko,DL,2016,14,17,20,0,2,0,0,3,0
Elvis Dumervil,DL,2016,7,9,2,3,1,2,0,0,0
Kyle Williams,DL,2016,15,42,22,5,11,0,0,0,0
Rob Ninkovich,LB,2016,11,17,15,4,3,1,0,2,0
Kedric Golston,DL,2016,1,2,0,0,0,0,0,0,0
Antoine Bethea,DB,2016,16,95,15,0,3,1,1,3,0
Ahmad Brooks,LB,2016,15,41,12,6,10,1,0,4,0
Darrelle Revis,DB,2016,15,43,10,0,1,0,1,5,0
Lawrence Timmons,LB,2016,16,78,36,2.5,5,1,2,5,0
Leon Hall,DB,2016,10,20,10,2,2,1,1,2,0
Michael Griffin,DB,2016,6,23,12,0,1,0,0,0,0
Reggie Nelson,DB,2016,16,50,15,0,0,0,5,12,0
Alan Branch,DL,2016,16,26,23,1.5,8,1,0,3,0
Paul Posluszny,LB,2016,16,97,36,1.5,8,0,1,3,0
Eric Weddle,DB,2016,16,48,41,1,1,1,4,13,0
David Harris,LB,2016,15,62,32,0.5,5,0,0,2,0
Justin Durant,LB,2016,12,24,13,1,2,0,0,3,0
Charles Johnson,DL,2016,13,14,12,4,2,3,0,2,0
Brandon Mebane,DL,2016,9,17,4,1,4,0,1,1,0
Brian Robison,DL,2016,14,18,10,7.5,7,3,0,1,0
Paul Soliai,DL,2016,7,4,4,0,1,0,0,0,0
Dashon Goldson,DB,2016,1,0,0,0,0,0,0,0,0
Corey Graham,DB,2016,16,57,25,1,2,0,1,9,0
William Gay,DB,2016,14,42,16,1,2,1,1,7,0
James Ihedigbo,DB,2016,4,9,6,0,1,0,0,1,0
Wesley Woodyard,LB,2016,16,39,14,2,6,0,1,5,0
Jerrell Freeman,LB,2016,12,86,24,0,7,0,0,4,0
Leger Douzable,DL,2016,15,24,19,1.5,5,0,0,1,0
Erin Henderson,LB,2016,4,12,7,0,1,0,0,0,0
Wallace Gilberry,DL,2016,9,11,4,2.5,3,0,0,0,0
Chris Long,DL,2016,16,22,13,4,7,1,0,3,0
Glenn Dorsey,DL,2016,10,20,4,1,3,0,0,0,0
Leodis McKelvin,DB,2016,13,32,11,0,0,0,2,16,1
Dominique Rodgers-Cromartie,DB,2016,15,41,8,1,2,1,6,21,0
Aqib Talib,DB,2016,13,32,11,0,1,0,3,12,1
Brandon Flowers,DB,2016,6,24,4,0,6,0,1,5,1
Tracy Porter,DB,2016,16,45,3,0,0,1,2,9,0
Calais Campbell,DL,2016,16,34,19,8,12,2,1,6,1
Jason Jones,DL,2016,14,22,14,3.5,3,0,0,2,0
Kendall Langford,DL,2016,5,8,2,0,2,0,0,2,0
Pat Sims,DL,2016,14,15,22,1.5,5,0,0,0,0
Cliff Avril,DL,2016,16,19,19,11.5,8,5,0,3,0
Philip Wheeler,LB,2016,13,17,10,0,3,0,0,0,0
Tyvon Branch,DB,2016,6,24,3,0,0,0,0,4,0
William Hayes,DL,2016,14,31,12,5,10,0,0,0,0
Dwight Lowery,DB,2016,16,49,11,0,1,1,1,9,1
Quintin Demps,DB,2016,13,38,17,0,1,1,6,9,0
Brandon Carr,DB,2016,16,53,8,0,1,0,1,9,0
Orlando Scandrick,DB,2016,12,38,7,2,2,3,1,8,0
Letroy Guion,DL,2016,14,20,10,0,6,0,0,1,0
Erik Walden,LB,2016,16,31,11,11,10,3,0,0,0
Ahtyba Rubin,DL,2016,15,25,14,1,6,3,0,1,0
Ricky Jean Francois,DL,2016,13,17,15,1.5,3,0,0,1,0
Chris Baker,DL,2016,16,29,18,3.5,7,2,0,2,0
Steve McLendon,DL,2016,10,19,8,3.5,7,1,0,0,0
Michael Bennett,DL,2016,11,24,10,5,14,0,0,0,0
Ramon Humber,LB,2016,3,5,0,0,0,0,0,0,0
Dan Skuta,LB,2016,11,15,3,0,3,0,0,1,0
Jonathan Casillas,LB,2016,16,59,33,1.5,5,1,0,8,0
Dannell Ellerbe,LB,2016,9,34,10,4,5,0,0,2,0
Greg Toler,DB,2016,7,14,2,0,0,0,0,2,0
Brice McCain,DB,2016,16,30,7,0,1,0,2,10,0
Captain Munnerlyn,DB,2016,14,38,17,0,2,1,0,3,0
Clinton McDonald,DL,2016,11,25,11,3.5,6,0,0,0,0
Tyson Jackson,DL,2016,10,5,8,0,0,0,0,1,0
Brian Orakpo,LB,2016,14,38,8,10.5,13,1,0,4,0
Malcolm Jenkins,DB,2016,16,44,25,1,3,0,3,9,2
Brian Cushing,LB,2016,13,38,27,0,2,0,0,1,0
Robert Ayers,DL,2016,12,21,8,6.5,7,1,0,1,0
Vontae Davis,DB,2016,13,34,3,0,0,0,1,10,0
Clay Matthews,LB,2016,10,20,4,5,7,1,0,3,0
Ziggy Hood,DL,2016,16,17,16,1,4,1,0,3,0
Patrick Chung,DB,2016,16,48,39,1,1,0,1,3,0
James Laurinaitis,LB,2016,3,9,8,0,0,0,0,1,0
Rey Maualuga,LB,2016,11,17,10,0,0,0,1,2,0
Darius Butler,DB,2016,12,27,6,0,0,1,3,7,0
Jairus Byrd,DB,2016,15,56,26,0,2,0,2,3,0
Connor Barwin,LB,2016,16,20,14,5,6,1,0,2,0
Mike Mitchell,DB,2016,16,55,22,0,0,0,1,9,0
Paul Kruger,DL,2016,15,20,5,1.5,6,1,0,1,0
Sean Smith,DB,2016,14,33,7,0,1,0,2,11,0
Sen'Derrick Marks,DL,2016,14,18,4,3.5,7,0,0,1,0
Michael Johnson,DL,2016,16,32,13,3.5,6,0,0,3,0
DeAndre Levy,LB,2016,5,16,5,0,0,0,0,1,0
Roy Miller,DL,2016,3,10,0,0,1,0,0,0,0
Lardarius Webb,DB,2016,15,59,14,1,2,0,1,5,0
Jerraud Powers,DB,2016,12,26,7,1,2,0,2,5,0
Rashad Johnson,DB,2016,14,25,13,0,1,1,0,1,0
Glover Quin,DB,2016,15,55,13,0,2,1,2,5,0
David Bruton,DB,2016,4,20,7,1,1,0,0,2,0
Don Carey,DB,2016,2,2,1,0,0,0,0,0,0
Jason McCourty,DB,2016,13,59,8,0,0,0,2,12,0
Rafael Bush,DB,2016,15,31,17,1,2,0,2,3,1
Kyle Love,DL,2016,8,8,8,1.5,1,1,0,0,0
Vincent Rey,LB,2016,16,48,31,0,1,0,1,7,0
Darian Stewart,DB,2016,16,55,13,0,2,1,3,6,0
Tramaine Brock,DB,2016,16,48,10,0,5,1,1,14,0
Chris Maragos,DB,2016,1,0,0,0,0,0,0,0,0
Barry Church,DB,2016,12,61,24,0,2,1,2,4,0
Sam Shields,DB,2016,1,3,0,0,0,0,0,0,0
Frank Zombo,LB,2016,13,28,11,1,3,1,0,2,0
Anthony Levine,DB,2016,6,4,3,0,0,0,0,1,0
Marcus Sherels,DB,2016,1,0,0,0,0,0,0,1,0
Albert McClellan,LB,2016,14,31,21,1,4,0,0,0,0
Mitch Unrein,DL,2016,12,12,14,1,1,0,0,0,0
Devin McCourty,DB,2016,16,64,14,0,1,1,1,7,0
Nate Allen,DB,2016,6,20,6,0,1,0,2,3,0
T.J. Ward,DB,2016,14,69,18,1,1,3,1,8,0
Lamarr Houston,LB,2016,1,2,2,0,0,0,0,0,0
Carlos Dunlap,LB,2016,16,30,19,8,7,3,0,15,0
Sean Lee,LB,2016,15,93,52,0,12,0,0,1,0
Brandon Spikes,LB,2016,6,4,5,0,0,0,0,0,0
Morgan Burnett,DB,2016,15,68,23,3,3,0,2,9,0
Donald Butler,LB,2016,9,17,11,0,3,0,0,0,0
Earl Mitchell,DL,2016,9,12,6,0,3,0,0,0,0
Corey Peters,DL,2016,9,12,9,0,4,0,0,0,0
Everson Griffen,DL,2016,16,36,12,8,9,2,0,1,1
Perry Riley,LB,2016,11,38,10,0,0,2,0,1,0
Alterraun Verner,DB,2016,8,11,1,0,0,0,1,7,0
Darrell Stuckey,DB,2016,3,4,0,0,0,0,0,0,0
Geno Atkins,DL,2016,14,21,11,9,13,0,0,0,0
Al Woods,DL,2016,8,14,4,0,2,0,0,0,0
Kam Chancellor,DB,2016,12,47,34,0,3,1,2,8,0
Kendrick Lewis,DB,2016,1,1,0,0,0,0,0,0,0
Perrish Cox,DB,2016,11,37,5,0,0,0,3,11,0
Sherrick McManis,DB,2016,2,3,0,0,0,0,0,0,0
Nolan Carroll,DB,2016,16,40,14,0,0,1,1,11,0
Cam Thomas,DL,2016,11,11,4,1,1,0,0,0,0
Arthur Jones,DL,2016,7,15,15,0,1,0,0,0,0
Reshad Jones,DB,2016,6,31,20,0.5,4,0,1,4,0
Crezdon Butler,DB,2016,1,2,0,0,0,0,0,0,0
Arthur Moats,DL,2016,11,9,10,3.5,3,0,0,3,0
Eugene Sims,DL,2016,12,18,5,2.5,6,0,0,1,0
Willie Young,LB,2016,16,21,17,7.5,8,1,0,2,0
Dekoda Watson,LB,2016,5,4,1,1,1,1,0,0,0
C.J. Wilson,DL,2016,5,9,4,1,2,0,0,0,0
Ricardo Mathews,DL,2016,11,8,6,1,3,0,0,0,0
Kurt Coleman,DB,2016,15,64,29,1,1,1,4,7,1
Robert McClain,DB,2016,10,19,15,0.5,2,0,0,1,0
Teddy Williams,DB,2016,2,5,1,0,0,0,1,2,0
Ndamukong Suh,DL,2016,16,40,32,5,11,0,0,6,0
Gerald McCoy,DL,2016,14,26,8,7,5,2,0,5,0
Eric Berry,DB,2016,16,62,15,0,2,1,4,9,2
Joe Haden,DB,2016,13,37,11,0,0,0,3,11,0
Tyson Alualu,DL,2016,14,28,8,2.5,6,1,0,0,0
Brandon Graham,DL,2016,16,41,18,5.5,14,2,0,1,0
Earl Thomas,DB,2016,11,24,22,0,0,0,2,10,1
Jason Pierre-Paul,DL,2016,12,34,18,7,7,3,0,8,1
Derrick Morgan,LB,2016,15,24,9,9,11,0,0,1,0
Sean Weatherspoon,LB,2016,4,21,6,0,2,0,0,0,0
Kareem Jackson,DB,2016,14,51,11,0,3,0,1,4,1
Dan Williams,DL,2016,14,11,6,0.5,0,0,0,1,0
Jared Odrick,DL,2016,6,9,3,1,0,1,0,1,0
Jerry Hughes,DL,2016,16,31,17,6,8,1,0,3,0
Patrick Robinson,DB,2016,7,18,7,0,0,1,0,5,0
Koa Misi,LB,2016,3,11,11,0,0,0,0,0,0
Linval Joseph,DL,2016,16,37,40,4,5,3,0,0,0
NaVorro Bowman,LB,2016,4,24,11,1,4,1,1,2,0
Andrew Sendejo,DB,2016,14,41,24,0.5,0,0,2,4,0
Von Miller,LB,2016,16,62,16,13.5,13,3,0,3,0
Marcell Dareus,DL,2016,8,24,15,3.5,5,0,0,1,0
Patrick Peterson,DB,2016,16,44,6,0,1,0,3,6,0
J.J. Watt,DL,2016,3,1,7,1.5,1,0,0,0,0
Nick Fairley,DL,2016,16,29,14,6.5,9,0,0,0,0
Robert Quinn,LB,2016,7,8,2,4,2,2,0,2,0
Ryan Kerrigan,DL,2016,14,25,7,11,15,2,0,2,0
Corey Liuget,DL,2016,15,28,8,0,10,0,0,3,0
Prince Amukamara,DB,2016,14,46,3,0,1,0,0,6,0
Adrian Clayborn,DL,2016,10,19,3,4.5,8,0,0,0,1
Cameron Jordan,DL,2016,16,39,18,7.5,17,1,0,6,0
Jimmy Smith,DB,2016,11,29,3,0,0,0,0,4,0
Muhammad Wilkerson,DL,2016,15,32,25,4.5,10,1,0,3,0
Cameron Heyward,DL,2016,7,16,4,3,4,0,0,4,0
Aaron Williams,DB,2016,7,13,7,0,1,0,0,5,1
Jabaal Sheard,DL,2016,12,20,13,5,7,0,0,4,0
Akeem Ayers,LB,2016,12,12,6,2,1,0,1,2,0
Bruce Carter,LB,2016,5,6,5,0,2,0,0,1,0
Jarvis Jenkins,DL,2016,8,12,2,0,0,0,0,0,0
Brooks Reed,LB,2016,10,13,7,2,2,1,0,1,0
Marcus Gilchrist,DB,2016,13,38,15,0,1,1,2,3,0
Stephen Paea,DL,2016,8,6,6,0.5,0,0,0,0,0
Terrell McClain,DL,2016,13,21,19,2.5,3,2,0,0,0
Kelvin Sheppard,LB,2016,16,27,20,0,0,0,0,2,0
Justin Houston,LB,2016,4,20,1,4,6,1,0,1,0
Jurrell Casey,DL,2016,15,31,13,5,8,0,0,5,0
Mason Foster,LB,2016,16,88,35,1,9,0,0,3,0
Allen Bailey,DL,2016,5,5,2,0,1,0,0,0,0
Shareece Wright,DB,2016,12,42,8,0,4,0,0,6,0
Akeem Dent,LB,2016,4,3,1,0,0,0,0,0,0
Chris Conte,DB,2016,13,54,10,0,1,0,2,5,1
K.J. Wright,LB,2016,16,72,54,4,12,1,0,5,0
Da'Norris Searcy,DB,2016,13,34,5,0,2,0,1,6,0
Sam Acho,LB,2016,13,16,9,1,3,1,0,1,0
Chimdi Chekwa,DB,2016,1,2,0,0,0,0,0,0,0
Chris Prosinski,DB,2016,7,13,5,0,1,0,0,1,0
Davon House,DB,2016,7,13,3,0,0,0,0,0,0
Buster Skrine,DB,2016,14,39,8,1,1,0,1,6,0
Karl Klug,DL,2016,11,13,13,1.5,2,0,0,1,0
Shiloh Keo,DB,2016,1,1,0,0,0,0,0,0,0
Richard Sherman,DB,2016,16,38,20,0,2,0,4,13,0
Chris Carter,LB,2016,1,1,0,0,0,0,0,0,0
Pernell McPhee,LB,2016,8,13,3,4,5,1,0,0,0
Byron Maxwell,DB,2016,12,42,10,0,1,4,2,15,0
Colin Jones,DB,2016,1,1,1,0,0,0,0,0,0
Lawrence Guy,DL,2016,16,14,14,1,5,1,0,0,0
Andrew Gachkar,LB,2016,3,5,2,0,1,0,0,0,0
Malcolm Smith,LB,2016,15,86,17,0,3,2,1,3,0
Chris Harris,DB,2016,16,57,6,0,1,1,2,10,0
Sealver Siliga,DL,2016,7,6,4,1,1,0,0,0,0
Josh Bynes,LB,2016,8,26,12,0,4,0,0,4,0
Nick Bellore,LB,2016,12,55,22,1,4,0,1,5,0
Mario Addison,DL,2016,12,21,4,9.5,11,2,0,1,0
Spencer Paysinger,LB,2016,10,37,14,0,0,0,0,3,0
Cedric Thornton,DL,2016,12,12,9,1.5,4,1,0,1,0
Jeron Johnson,DB,2016,2,0,3,0,0,0,0,0,0
Mike Morgan,LB,2016,6,6,4,0,2,0,1,1,0
Ron Parker,DB,2016,16,52,9,0,1,2,1,12,0
Jonathan Freeny,LB,2016,2,6,4,0,0,1,0,0,0
Justin Trattou,DL,2016,1,0,0,0,0,0,0,0,0
Bryan Braman,LB,2016,1,1,0,0,0,0,0,0,0
Isa Abdul-Quddus,DB,2016,15,49,28,1,2,0,2,5,0
Mark Herzlich,LB,2016,1,0,0,0,0,0,0,0,0
Corbin Bryant,DL,2016,7,5,6,0,0,0,0,0,0
Sterling Moore,DB,2016,13,44,12,0,1,0,2,13,0
Craig Robertson,LB,2016,15,70,44,1,6,0,1,4,0
Michael Wilhoite,LB,2016,12,38,8,0.5,1,1,0,2,0
Peyton Thompson,DB,2016,3,3,2,0,0,0,0,0,0
Rodney McLeod,DB,2016,16,68,11,1,3,1,3,7,0
Michael Thomas,DB,2016,15,27,12,1,3,1,0,1,0
Vontaze Burfict,LB,2016,11,73,28,2,5,1,2,8,0
Tashaun Gipson,DB,2016,15,34,7,0,0,0,1,2,0
L.J. Fort,LB,2016,2,2,0,0,0,0,0,0,0
Duke Ihenacho,DB,2016,14,49,10,0,4,0,0,2,0
Robert Golden,DB,2016,8,20,12,0,1,0,0,1,0
Damon Harrison,DL,2016,16,55,31,2.5,6,1,0,1,0
Valentino Blake,DB,2016,9,33,5,0,1,0,0,5,0
Ryan Davis,DL,2016,7,1,3,0,1,0,0,0,0
Julian Stanford,LB,2016,5,14,5,0,1,0,0,0,0
Johnson Bademosi,DB,2016,7,16,2,0,0,0,1,5,0
Leonard Johnson,DB,2016,8,22,8,1,1,0,0,1,0
Kelcie McCray,DB,2016,6,20,15,0,0,0,0,1,0
Derrick Shelby,DL,2016,6,6,2,0,2,0,0,1,0
Dezman Moses,LB,2016,1,0,1,0,0,0,0,0,0
Winston Guy,DB,2016,2,3,1,0,0,0,0,0,0
Tony Jerod-Eddie,DL,2016,3,1,2,0,0,0,0,0,0
DeShawn Shead,DB,2016,15,56,24,0,0,1,1,14,0
Bruce Irvin,LB,2016,16,47,10,7,9,6,0,1,0
Tyrunn Walker,DL,2016,14,15,11,0,4,0,0,0,0
Tahir Whitehead,LB,2016,15,99,33,0,3,0,0,5,0
George Iloka,DB,2016,16,48,25,0,1,0,3,7,0
Luke Kuechly,LB,2016,10,71,31,2,6,1,1,6,0
Melvin Ingram,LB,2016,16,46,14,8,10,4,0,5,0
Shea McClellin,LB,2016,12,16,23,1,1,0,0,0,0
Courtney Upshaw,DL,2016,11,14,9,1,1,1,0,1,0
Bobby Wagner,LB,2016,16,85,82,4.5,7,0,1,3,0
Kendall Reyes,DL,2016,10,15,5,1,3,0,0,1,0
Jerel Worthy,DL,2016,9,5,7,0,1,0,0,0,0
Devon Still,DL,2016,1,2,1,0,0,0,0,0,0
Casey Hayward,DB,2016,16,50,7,0,1,0,7,20,1
John Hughes,DL,2016,4,5,1,0,0,0,0,0,0
Nigel Bradham,LB,2016,16,67,31,2,10,2,1,5,0
Jaye Howard,DL,2016,7,18,5,1,2,0,0,0,0
Ron Brooks,DB,2016,4,11,2,0,0,0,0,1,0
Mike Daniels,DL,2016,15,25,8,4,8,0,0,1,0
Josh Norman,DB,2016,16,52,15,0,2,2,3,19,0
Tank Carder,LB,2016,3,2,0,0,0,0,0,0,0
Korey Toomer,LB,2016,13,49,22,1,5,3,0,2,0
Asa Jackson,DB,2016,2,5,2,0,0,0,0,1,0
Jeremy Lane,DB,2016,15,33,13,0,0,0,0,3,0
Billy Winn,DL,2016,12,8,11,0,1,0,0,0,0
Cam Johnson,DL,2016,10,17,11,3,3,2,0,1,0
Trevin Wade,DB,2016,12,22,2,0,0,0,0,3,1
Neiko Thorpe,DB,2016,3,7,3,0,0,0,0,0,0
Nick Perry,LB,2016,14,35,17,11,12,0,1,4,0
Mychal Kendricks,LB,2016,13,21,7,0,3,0,0,1,0
Tavon Wilson,DB,2016,15,72,15,1,4,0,2,2,0
Vinny Curry,DL,2016,15,18,8,2.5,6,0,0,0,0
Jared Crick,DL,2016,16,32,21,3,4,2,0,6,0
Najee Goode,LB,2016,1,0,0,0,0,0,0,0,0
Keith Tandy,DB,2016,13,41,11,0,2,0,4,9,0
Emmanuel Lamur,LB,2016,4,3,4,0,0,0,0,0,0
Eddie Pleasant,DB,2016,11,14,3,0,1,0,0,5,0
Coty Sensabaugh,DB,2016,10,21,3,0,2,1,0,0,0
Justin Bethel,DB,2016,8,25,1,0,3,0,1,6,1
Stephon Gilmore,DB,2016,15,42,6,0,0,0,5,12,0
Keenan Robinson,LB,2016,16,52,27,0,2,0,0,7,0
Antonio Allen,DB,2016,2,0,1,0,0,0,0,0,0
Dre Kirkpatrick,DB,2016,15,35,11,0,0,0,3,10,0
Lavonte David,LB,2016,16,67,20,5,17,4,1,4,1
Zach Brown,LB,2016,16,97,52,4,11,2,1,4,0
Malik Jackson,DL,2016,16,28,5,6.5,11,0,0,4,0
Nate Ebner,DB,2016,1,0,0,0,0,0,0,0,0
Robert Blanton,DB,2016,7,18,8,0,0,0,0,0,0
Danny Trevathan,LB,2016,9,49,17,1,1,0,0,4,0
Audie Cole,LB,2016,4,1,4,0,0,0,0,0,0
Chandler Jones,DL,2016,16,38,11,11,15,4,0,3,0
Derek Wolfe,DL,2016,14,38,13,5.5,4,0,0,4,0
Sean Spence,LB,2016,15,35,15,3,2,1,0,3,0
Andre Branch,DL,2016,16,27,22,5.5,8,2,0,1,0
Harrison Smith,DB,2016,14,69,22,2,4,0,0,2,0
Demario Davis,LB,2016,16,59,40,2,7,1,0,2,0
Brandon Marshall,LB,2016,11,39,13,0,2,0,0,3,0
Jack Crawford,DL,2016,11,13,12,3.5,4,0,0,0,0
Nate Stupar,LB,2016,13,39,9,1,1,2,1,2,0
Michael Brockers,DL,2016,12,14,5,0,1,0,0,2,0
Tyrone Crawford,DL,2016,14,16,12,4.5,8,0,0,0,0
Whitney Mercilus,DL,2016,15,36,17,7.5,13,1,0,1,0
Kyle Wilber,LB,2016,4,2,1,0,0,0,0,0,0
Fletcher Cox,DL,2016,16,27,16,6.5,9,1,0,2,0
Akiem Hicks,DL,2016,16,35,18,7,11,2,0,2,0
Corey White,DB,2016,9,21,7,0,0,0,2,4,0
Dont'a Hightower,LB,2016,13,31,34,2.5,1,1,0,2,0
Mark Barron,LB,2016,16,90,27,1,7,0,2,8,0
Morris Claiborne,DB,2016,7,24,2,0,2,0,1,5,0
Janoris Jenkins,DB,2016,15,44,5,1,5,1,3,18,0
Dontari Poe,DL,2016,14,18,9,1.5,1,1,0,3,0
Trumaine Johnson,DB,2016,14,47,10,0,3,0,1,11,0
Josh Robinson,DB,2016,1,0,0,0,0,0,0,0,0
Olivier Vernon,DL,2016,16,46,18,8.5,17,1,0,0,0
Chris Lewis-Harris,DB,2016,3,3,2,0,0,0,1,2,0
Josh McNary,LB,2016,8,9,5,0,0,1,0,0,0
Chris Banjo,DB,2016,1,0,0,0,0,0,0,0,0
Cody Davis,DB,2016,7,6,4,0,0,0,1,3,0
Paul Worrilow,LB,2016,7,12,6,0,1,0,0,2,0
Daren Bates,LB,2016,6,3,1,0,0,0,0,0,0
Lerentee McCray,DL,2016,6,4,6,0,0,1,0,0,0
Will Compton,LB,2016,15,60,44,0,5,1,1,5,0
Darryl Morris,DB,2016,9,27,7,0,0,0,1,6,0
Mike Purcell,DL,2016,9,17,9,0,1,1,0,0,0
Rashaan Melvin,DB,2016,13,52,8,0,1,2,0,7,0
T.J. Barnes,DL,2016,1,1,0,0,0,0,0,0,0
Marcus Burley,DB,2016,5,4,1,0,0,0,0,1,0
Abry Jones,DL,2016,13,26,6,0,4,0,0,1,0
LaRoy Reynolds,LB,2016,10,13,10,0,0,0,0,0,0
Steven Terrell,DB,2016,8,14,9,0,0,0,0,1,0
Brandon Copeland,LB,2016,9,7,4,0,0,1,0,0,0
Brynden Trawick,DB,2016,2,5,4,0,0,0,1,1,0
Jordan Dangerfield,DB,2016,3,4,6,0,0,0,0,0,0
Terence Garvin,LB,2016,4,6,2,0.5,0,0,0,0,0
Nickell Robey,DB,2016,16,26,3,0,2,0,2,7,2
Cornelius Washington,DL,2016,13,14,6,2,2,0,0,1,0
Ray-Ray Armstrong,LB,2016,2,7,1,0,1,0,1,2,0
Ezekiel Ansah,DL,2016,12,21,14,2,7,0,0,0,0
Kenny Vaccaro,DB,2016,11,50,17,1,5,2,2,5,0
Darius Slay,DB,2016,13,43,1,1,1,1,2,13,0
Johnathan Hankins,DL,2016,16,29,14,3,8,1,0,0,0
Damontre Moore,DL,2016,4,3,4,0.5,2,0,0,0,0
John Jenkins,DL,2016,7,6,7,0,0,0,0,0,0
Duke Williams,DB,2016,4,4,0,0,0,0,0,1,0
Devin Taylor,DL,2016,14,21,7,4.5,4,1,0,1,0
Jonathan Meeks,DB,2016,5,2,3,0,0,0,0,1,0
Quinton Dial,DL,2016,13,24,12,0,1,0,0,2,0
Micah Hyde,DB,2016,16,45,11,1,3,0,3,9,0
