player_display_name,position,season,games,tackles,assisted_tackles,sacks,tfl,forced_fumbles,def_interceptions,pass_deflections,def_tds
Jarrett Bush,DB,2013,5,5,1,0,0,0,1,5,0
Stephen Bowen,DL,2013,9,11,8,0,2,0,0,1,0
Steve Gregory,DB,2013,14,50,29,1,0,0,0,3,0
Tom Johnson,DL,2013,8,6,6,2,2,0,0,0,0
Tramon Williams,DB,2013,16,62,22,2.5,4,2,3,11,0
Tony McDaniel,DL,2013,14,23,30,2,6,0,0,1,0
Blake Costanzo,LB,2013,1,0,1,0,0,0,0,0,0
Brent Grimes,DB,2013,16,52,8,0,1,0,4,17,1
A.J. Hawk,LB,2013,16,74,44,5,13,1,1,5,0
Michael Huff,DB,2013,3,5,1,0,0,0,0,0,0
Donte Whitner,DB,2013,16,58,15,0,3,2,2,12,0
Ernie Sims,LB,2013,11,30,11,0,0,1,0,0,0
Haloti Ngata,DL,2013,15,23,29,1.5,3,0,0,3,0
Kamerion Wimbley,LB,2013,8,8,1,3,4,0,0,0,0
Brodrick Bunkley,DL,2013,8,8,5,0,1,0,0,0,0
Chad Greenway,LB,2013,16,83,51,3,6,0,3,4,0
Antonio Cromartie,DB,2013,16,35,3,0,0,1,3,9,0
Tamba Hali,LB,2013,15,39,7,11,11,4,1,1,2
Manny Lawson,LB,2013,15,52,21,4,10,1,1,1,0
Johnathan Joseph,DB,2013,15,44,3,0,1,0,3,16,0
Mathias Kiwanuka,DL,2013,16,24,16,6,8,2,0,2,0
DeMeco Ryans,LB,2013,16,102,25,4,9,0,2,7,0
D'Qwell Jackson,LB,2013,16,75,66,1.5,1,1,1,7,0
Rocky McIntosh,LB,2013,9,5,1,0,1,0,0,0,0
Danieal Manning,DB,2013,6,21,3,1,1,0,0,2,0
Roman Harper,DB,2013,9,25,12,0,0,0,1,1,0
Bernard Pollard,DB,2013,16,77,22,0.5,3,0,3,9,0
Richard Marshall,DB,2013,13,49,13,0,0,0,0,6,0
Tim Jennings,DB,2013,16,50,8,0,0,3,4,13,2
Darryl Tapp,DL,2013,7,6,3,1,2,0,0,0,0
James Anderson,LB,2013,16,84,18,4,10,0,0,3,0
Frostee Rucker,DL,2013,11,9,2,1,1,0,0,0,0
Jason Hatcher,DL,2013,14,34,7,11,15,2,0,3,0
Will Blackmon,DB,2013,13,31,10,1,3,2,1,11,1
Stephen Tulloch,LB,2013,16,93,42,3.5,7,0,1,3,0
Domata Peko,DL,2013,16,24,28,3,2,0,0,0,0
Barry Cofield,DL,2013,12,17,15,2.5,5,0,0,1,0
Elvis Dumervil,DL,2013,13,18,13,9.5,8,2,0,2,0
Kyle Williams,DL,2013,16,42,26,10.5,14,1,0,1,0
Rob Ninkovich,LB,2013,16,42,49,8,10,2,0,1,0
Parys Haralson,LB,2013,14,16,14,3.5,5,0,0,1,0
Dawan Landry,DB,2013,16,58,37,1,2,0,1,7,0
Omar Gaither,LB,2013,3,2,5,0,0,0,0,0,0
Reed Doughty,DB,2013,14,38,31,0,1,0,1,2,0
Johnny Jolly,DL,2013,10,11,10,1,6,0,0,1,0
Jeremy Mincey,DL,2013,8,10,7,2,4,0,0,1,0
Kedric Golston,DL,2013,12,10,11,0,1,0,0,0,0
Antoine Bethea,DB,2013,16,80,30,1,3,0,2,6,0
